Alias	RecipientFilter
DDG_PORT_ALL	((((CustomAttribute4 -eq 'Employee') -and (CustomAttribute9 -eq 'PRT') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_pte_all	((((CustomAttribute3 -eq 'PTE') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_NZD_ALL	((((CustomAttribute3 -eq 'NZD') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_SIN_ALL	((((CustomAttribute3 -eq 'SIN') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_RUSS_ALL	((((CustomAttribute3 -eq 'Moscow') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_sjk_all	((((CustomAttribute3 -eq 'SJK') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_TITUS_ALL	((((CustomAttribute3 -eq 'TITUS') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_STHAFRICA_ALL	((((CustomAttribute3 -eq 'JNB') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_SOD_ALL	((((CustomAttribute3 -eq 'SOD') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_tte_all	((((CustomAttribute3 -eq 'TTE') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_UK_ALL	((((((CustomAttribute3 -eq 'Brussels') -or (CustomAttribute3 -eq 'UK'))) -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_vcp_all	((((((CustomAttribute3 -eq 'CGR') -or (CustomAttribute3 -eq 'VCP'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-EDE	((((((CustomAttribute3 -eq '9901') -or (CustomAttribute3 -eq 'ELEB') -or (CustomAttribute3 -eq 'ETTE'))) -and (((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-MLB	((((CustomAttribute3 -eq 'MLB') -and (((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-ESC	((((CustomAttribute3 -eq 'ESC') -and (((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-BOT	((((CustomAttribute3 -eq 'BOT') -and (((CustomAttribute5 -eq 'L2B') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-EGM	((((CustomAttribute3 -eq 'EGM') -and (((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-SJK	((((CustomAttribute3 -eq 'SJK') -and (((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-FLL	((((CustomAttribute3 -eq 'FLL') -and (((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-BSB	((((CustomAttribute3 -eq 'BSB') -and (((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-BJS	((((CustomAttribute3 -eq 'BJS') -and (((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-AMS	((((((CustomAttribute3 -eq 'AMS') -or (CustomAttribute3 -eq 'UK'))) -and (((CustomAttribute5 -eq 'L2B') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-GPX	((((CustomAttribute3 -eq 'GPX') -and (((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_DIRETORES-VCP	((((CustomAttribute3 -eq 'VCP') -and (((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-VCP	((((CustomAttribute3 -eq 'VCP') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-BNA	((((CustomAttribute3 -eq 'BNA') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-SIN	((((CustomAttribute3 -eq 'SIN') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-PRT	((((((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (CustomAttribute9 -eq 'PRT') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-EGM	((((CustomAttribute3 -eq 'EGM') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
dg_emb_eve	((((RecipientTypeDetails -eq 'UserMailbox') -and (WindowsLiveID -eq '*@eveairmobility.com'))) -and (-not(Name -like 'SystemMailbox{*')) -and (-not(Name -like 'CAS_{*')) -and (-not(RecipientTypeDetailsValue -eq 'MailboxPlan')) -and (-not(RecipientTypeDetailsValue -eq 'DiscoveryMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'PublicFolderMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'ArbitrationMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuxAuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'SupervisoryReviewPolicyMailbox')))
DG_EMB_GERENTES-GPX	((((CustomAttribute3 -eq 'GPX') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-SJK	((((CustomAttribute3 -eq 'SJK') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-ESC	((((CustomAttribute3 -eq 'ESC') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
